id_config,execucao,seed,operador,populacao,geracoes,taxa_crossover,taxa_mutacao,distancia_final,melhor_rota
14,5,14004,PMX,100,100,0.8,0.05,347,"[5, 13, 11, 2, 6, 4, 8, 14, 12, 0, 10, 1, 9, 7, 3]"
14,6,14005,PMX,100,100,0.8,0.05,291,"[12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1]"
14,7,14006,PMX,100,100,0.8,0.05,339,"[8, 4, 6, 2, 9, 11, 13, 5, 3, 10, 7, 1, 0, 12, 14]"
14,8,14007,PMX,100,100,0.8,0.05,325,"[11, 13, 5, 3, 10, 0, 12, 1, 7, 8, 14, 4, 6, 2, 9]"
14,9,14008,PMX,100,100,0.8,0.05,291,"[12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1]"
14,10,14009,PMX,100,100,0.8,0.05,291,"[1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12]"
15,1,15000,OX,100,100,0.9,0.05,342,"[8, 4, 6, 2, 9, 13, 11, 5, 3, 10, 0, 7, 1, 12, 14]"
15,2,15001,OX,100,100,0.9,0.05,307,"[5, 3, 10, 0, 12, 1, 7, 9, 8, 14, 4, 6, 2, 11, 13]"
15,3,15002,OX,100,100,0.9,0.05,340,"[11, 13, 9, 7, 1, 3, 5, 10, 0, 12, 14, 8, 4, 6, 2]"
15,4,15003,OX,100,100,0.9,0.05,307,"[12, 1, 14, 8, 4, 6, 2, 11, 13, 7, 9, 5, 3, 10, 0]"
15,5,15004,OX,100,100,0.9,0.05,291,"[5, 3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7]"
15,6,15005,OX,100,100,0.9,0.05,291,"[10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0]"
15,7,15006,OX,100,100,0.9,0.05,291,"[8, 14, 1, 12, 0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4]"
15,8,15007,OX,100,100,0.9,0.05,307,"[8, 14, 1, 12, 0, 10, 3, 5, 9, 7, 13, 11, 2, 6, 4]"
15,9,15008,OX,100,100,0.9,0.05,322,"[8, 14, 1, 0, 12, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4]"
15,10,15009,OX,100,100,0.9,0.05,375,"[13, 5, 3, 0, 10, 12, 14, 4, 8, 1, 7, 9, 6, 2, 11]"
16,1,16000,PMX,100,100,0.9,0.05,291,"[8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12, 1, 14]"
16,2,16001,PMX,100,100,0.9,0.05,291,"[5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0, 10, 3]"
16,3,16002,PMX,100,100,0.9,0.05,331,"[11, 13, 5, 3, 10, 0, 12, 14, 4, 6, 8, 1, 7, 9, 2]"
16,4,16003,PMX,100,100,0.9,0.05,291,"[3, 10, 0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5]"
16,5,16004,PMX,100,100,0.9,0.05,333,"[14, 8, 4, 6, 2, 11, 13, 5, 3, 10, 7, 9, 1, 0, 12]"
16,6,16005,PMX,100,100,0.9,0.05,327,"[9, 7, 8, 6, 4, 14, 1, 12, 0, 10, 3, 5, 13, 11, 2]"
16,7,16006,PMX,100,100,0.9,0.05,307,"[9, 7, 1, 12, 0, 10, 3, 5, 13, 11, 2, 6, 4, 14, 8]"
16,8,16007,PMX,100,100,0.9,0.05,291,"[6, 2, 11, 13, 9, 7, 5, 3, 10, 0, 12, 1, 14, 8, 4]"
16,9,16008,PMX,100,100,0.9,0.05,331,"[2, 6, 9, 7, 1, 8, 4, 14, 12, 0, 10, 3, 5, 13, 11]"
16,10,16009,PMX,100,100,0.9,0.05,315,"[6, 4, 8, 14, 1, 12, 0, 10, 3, 5, 13, 11, 7, 9, 2]"
